Left,Right,Label
0.624180278,0.43550798,0
0.6388143,0.439257091,0
0.108502968,0.031686165,0
0.697700866,1.242547181,0
0,0.007651751,0
0.440177061,0.019936161,0
0.349589754,0.28838221,0
0.562549596,0.21711708,0
0.295373697,0.089296073,0
0.068357378,0.068639626,0
0.506717872,0.253217817,0
0.163211935,0.281190544,0
0.104735695,0.158425482,0
0.233698742,0.641147902,0
0.21765966,-0.033633076,0
0.130300942,1.280945432,0
0.280185252,0.955070255,0
0.899732429,1.538030425,0
0.448191366,0.853474562,0
0.033767205,1.137640115,0
0.032513156,1.10331692,0
0.398369178,1.224360555,0
0.65944991,0.438431127,0
0.641043109,1.465614249,0
0.321218575,1.067326902,0
1,1.090107013,0
0,1.887059669,0
0.734052107,1.596577791,0
0.368152315,0.117595862,0
0.256756795,0.161064796,0
0.497716036,0.74140518,0
1,0.246483182,0
0.744068369,0.462242464,0
0.445104851,0.200364475,0
0.358788477,0.067469467,0
0.664814757,0.033932857,0
0.341972886,0.610333906,0
0,1.193349749,0
0.518055107,1.230384048,0
0.137167013,0.102525954,0
0.106600535,-0.013014684,0
0.460372959,0.653497672,0
0.223789312,2.166250133,0
0,0.058146343,0
0.70785384,1.101354776,0
0.874854136,1.898910537,0
0.174638568,0.041963321,0
0.36864371,0.393687508,0
0.455005294,0.223469305,0
0.188712901,0.271150578,0
0.555290635,-0.094344926,0
1,0.480722427,0
0.914421175,0.732001733,0
0.303790718,0.346147343,0
0.282153821,0.684695,0
0.12773679,2.15311571,0
1,1.533441552,0
0,1.395722621,0
0.742639291,0.537186358,0
0.67319312,0.151320011,0
0.28719899,0.806239394,0
0.507966264,2.766188529,0
0.127037696,4.860175218,0
0.11205699,1.563256652,0
0.252321102,1.7133413,0
0.36977995,0.991389071,0
0.970314161,1.058393753,0
0.18836028,0.217081432,0
0.233142775,-0.110756565,0
0.617231072,0.073792872,0
0.507966264,2.766188529,0
0.127037696,4.860175218,0
0.678345474,0.221010034,0
0.363056009,-0.063315354,0
0.468175338,0.074662977,0
0.024194059,0.323861975,0
0,0.433254262,0
0.171621751,0.918103924,0
0.287695995,0.235241702,0
0.226727483,0.220964816,0
0.663468371,0.417847553,0
0.191458518,0.42408922,0
0.077494171,1.006095594,0
0.207271699,0.198729904,0
0,0.915246408,0
0.1132,0.198729904,0
